ts_s,frame,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
5.475498,224,-1.916602,-0.748314,2.503238,0.109888,2.090842,-0.853661
5.497606,225,-1.713960,-0.251577,3.148019,0.191779,1.669874,-0.760052
5.519956,226,-1.174484,0.546482,3.005718,0.226579,1.232114,-0.682323
5.542334,227,-1.086683,-0.105192,2.398915,0.217911,0.796758,-0.656769
5.565084,228,-1.181940,-0.129820,2.153283,0.242433,0.394268,-0.630560
5.586675,229,-0.927972,0.648326,2.154467,0.271222,0.069409,-0.549759
5.608988,230,-0.523910,0.816417,1.271051,0.253244,-0.207236,-0.456004
5.630983,231,-0.538600,0.647777,0.526058,0.214893,-0.372628,-0.377516
5.653267,232,-0.373542,-0.021491,0.029450,0.197118,-0.439273,-0.315458
5.675647,233,-0.138668,0.413732,-0.087156,0.191136,-0.427440,-0.236028
5.698636,234,-0.150695,0.303930,-0.247930,0.177747,-0.369175,-0.148831
5.720090,235,-0.646708,-0.673900,-0.080243,0.195294,-0.289581,-0.088456
5.743009,236,-0.969992,-0.515311,1.019613,0.266920,-0.253530,-0.020428
5.764540,237,-0.930811,0.505684,1.845736,0.318849,-0.321742,0.053018
5.786736,238,-0.717907,1.171070,1.600971,0.308028,-0.455948,0.133563
5.809107,239,-1.068197,1.145367,1.356876,0.260541,-0.604216,0.248432
5.831315,240,-1.520259,0.291031,1.589755,0.233358,-0.773293,0.358632
5.853422,241,-1.858398,0.760422,2.634439,0.220429,-0.994394,0.464866
5.875924,242,-2.681711,0.676956,3.444109,0.201387,-1.354254,0.558333
5.897841,243,-3.074254,1.117396,3.092111,0.157872,-1.804031,0.634523
5.920169,244,-3.154075,0.637749,1.802995,0.120598,-2.275854,0.771679
5.943033,245,-2.726041,-0.137121,0.204674,0.112024,-2.653979,0.858565
5.964691,246,-2.463434,0.971839,-0.407207,0.090464,-2.920384,0.886276
5.986851,247,-1.821335,0.747505,-0.932112,0.040674,-3.096785,0.950158
6.010714,248,-0.919095,0.104141,-1.740217,-0.018432,-3.174460,1.002543
6.084746,249,-0.225833,-0.145119,-0.632920,-0.038301,-3.143947,1.043994
6.109210,250,0.119077,-0.746961,-6.499697,-0.005136,-2.803847,1.115653
6.131379,251,0.822023,-1.120850,-2.288156,-0.000076,-2.635640,1.089840
6.153715,252,1.573972,-0.374924,-1.909286,0.028542,-2.423754,1.035462
6.176277,253,1.264905,0.602110,-1.126168,0.024136,-2.202914,1.050585
6.198132,254,1.605411,-0.001068,-1.281524,-0.018486,-1.989272,1.068430
6.220631,255,2.438612,-0.970236,-1.173646,-0.031889,-1.741056,1.054133
6.242581,256,2.180903,-0.807264,-0.818828,-0.012204,-1.480634,0.994051
6.265013,257,1.595618,-0.411341,-0.432178,0.013230,-1.221875,0.903697
6.287196,258,1.103430,0.073638,-0.165246,0.023883,-1.004885,0.819214
6.309596,259,0.595381,0.576738,0.017058,-0.002905,-0.832746,0.782608
6.331747,260,0.464043,-0.137898,-0.041814,-0.030977,-0.705424,0.759342
6.353785,261,0.214932,-0.374425,-0.035481,-0.029500,-0.624764,0.757990
6.377821,262,-0.141796,-0.283219,0.088701,-0.012345,-0.591497,0.754628
6.398362,263,0.037364,-0.220002,0.050899,-0.009548,-0.602149,0.723772
6.420491,264,0.455007,-0.236601,0.017737,-0.013253,-0.603137,0.700657
6.442812,265,0.433226,-0.434823,-0.027810,0.001650,-0.594280,0.648906
6.465326,266,0.173048,-0.024681,0.166850,0.013223,-0.588004,0.588741
6.487335,267,-0.014927,0.168029,0.181318,-0.011553,-0.605620,0.513241
6.509730,268,0.680944,-0.619204,-0.022482,-0.024495,-0.619301,0.427719
6.531789,269,1.167276,-0.649963,0.089242,0.011947,-0.586034,0.356491
6.554110,270,0.764349,0.073996,0.263000,0.050400,-0.526211,0.297526
6.577183,271,0.067106,0.398063,0.221311,0.047052,-0.479883,0.259033
6.598360,272,-0.175668,0.599109,0.121405,0.017147,-0.463248,0.250836
6.620916,273,-0.515817,0.337178,-0.054887,-0.029615,-0.482478,0.272542
6.643274,274,-1.013503,-0.314767,-0.350660,-0.054125,-0.557734,0.296038
6.665672,275,-1.881399,0.094777,-0.560146,-0.077290,-0.717422,0.321512
6.687728,276,-1.936766,-0.750995,-0.730624,-0.108967,-0.953477,0.305593
6.709781,277,-0.180266,-0.745813,-0.672393,-0.113555,-1.164653,0.225133
6.731769,278,-0.826383,0.838855,-0.681014,-0.122155,-1.292350,0.216366
6.754200,279,-0.863619,-0.094295,-0.748450,-0.149477,-1.432621,0.264040
6.777252,280,1.084391,-0.703379,-0.232137,-0.137173,-1.511469,0.229286
6.798352,281,2.560616,0.246687,0.500302,-0.100551,-1.431371,0.181401
6.820801,282,2.925079,-0.014238,1.018614,-0.062587,-1.175933,0.124011
6.843335,283,3.637583,-0.901215,1.231982,0.015064,-0.821103,0.009883
6.865382,284,4.206029,-1.030082,1.807206,0.148469,-0.395447,-0.143381
6.887744,285,2.750721,0.730859,1.659616,0.255237,0.068152,-0.215370
6.909928,286,0.323592,1.768204,0.685889,0.264224,0.433737,-0.132227
6.931948,287,0.079038,0.279262,0.282305,0.233395,0.630154,-0.063887
6.954315,288,0.070742,0.417303,0.069492,0.197968,0.744528,-0.059703
6.977792,289,-1.077863,0.618406,-0.355106,0.132569,0.771682,-0.045660
6.999615,290,-0.758161,-1.229065,-0.580459,0.106796,0.685852,-0.060405
7.021505,291,0.440018,-1.632290,-0.175953,0.165036,0.564194,-0.123003
7.094954,292,0.241090,-0.180220,0.034099,0.216407,0.539005,-0.159041
7.121253,293,7.357468,1.829154,1.584581,0.380395,1.387635,-0.351118
7.143719,294,-1.869447,3.089316,-0.514774,0.292422,1.487525,-0.153659
7.165567,295,-1.865801,1.205848,-1.073517,0.110059,1.455681,-0.048395
